date,consignee,consignee_country,shipper,shipper_country,shipment_origin,shipment_destination,port_of_lading,port_of_lading_country,port_of_unlading_country,transport_method,goods_shipped,parcel_size_mt,weight,parcel_bin_2
2020-06-03T00:00:00Z,Transamine Trading S.A,Switzerland,Transamine Trading De Mexico Sa De Cv,Mexico,Mexico,Switzerland,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,4000t - 7000t,4182.55,2500 - 5000
2020-05-28T00:00:00Z,Youngpoong Corporation,South Korea,Z Inc. International S.A.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,<4000t,730.04,0 - 2500
2020-05-26T00:00:00Z,"Trafigura Pte., Ltd.",Singapore,Metalurgica Met Mex PeÑoles S.A. De C.V.,Mexico,Mexico,Switzerland,Manzanillo (MX),Mexico,Singapore,Maritime,CONCENTRADO DE ZINC,<4000t,260,0 - 2500
2020-05-26T00:00:00Z,Youngpoong Corporation,South Korea,Z Inc. International S.A.,Mexico,Mexico,South Korea,Manzanillo (MX),Mexico,South Korea,Maritime,CONCENTRADO DE ZINC,<4000t,730.44,0 - 2500
2020-05-26T00:00:00Z,Transamine Trading S.A,Switzerland,Z Inc. International S.A.,Mexico,Mexico,Switzerland,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,<4000t,20.31,0 - 2500
2020-05-25T00:00:00Z,Glencore International Ag,Switzerland,Metagrisa De Cv,Mexico,Mexico,Belgium,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,<4000t,559.63,0 - 2500
2020-05-23T00:00:00Z,Glencore International Ag,Switzerland,Metagrisa De Cv,Mexico,Mexico,Belgium,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,>7000t,11161.48,10000 - 12500
2020-05-20T00:00:00Z,"Trafigura Pte., Ltd.",Singapore,Metalurgica Met Mex PeÑoles S.A. De C.V.,Mexico,Mexico,Switzerland,Manzanillo (MX),Mexico,Singapore,Maritime,CONCENTRADO DE ZINC,>7000t,13200,12500 and up
2020-05-16T00:00:00Z,Glencore International Ag,Switzerland,Metagrisa De Cv,Mexico,Mexico,Spain,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,<4000t,289.75,0 - 2500
2020-05-15T00:00:00Z,Glencore International Ag,Switzerland,Metagrisa De Cv,Mexico,Mexico,Spain,Manzanillo (MX),Mexico,Switzerland,Maritime,CONCENTRADO DE ZINC,>7000t,10441.68,10000 - 12500
2020-05-13T00:00:00Z,Anglo Europe Minerals Ltd.,United Kingdom,Comercializadora Corsario Merco Centro Norte S.A. De C.V.,Mexico,Mexico,United Kingdom,Manzanillo (MX),Mexico,United Kingdom,Maritime,CONCENTRADO DE ZINC,<4000t,45.56,0 - 2500
2020-05-11T00:00:00Z,"Dowa Metals & Mining Co., Ltd.",Japan,Minera Tizapa Sa De Cv,Mexico,Mexico,Japan,Manzanillo (MX),Mexico,Japan,Maritime,CONCENTRADO DE ZINC,4000t - 7000t,5111.26,5000 - 7500
2020-05-07T00:00:00Z,Anglo Europe Minerals Ltd.,United Kingdom,Comercializadora Corsario Merco Centro Norte S.A. De C.V.,Mexico,Mexico,United Kingdom,Manzanillo (MX),Mexico,United Kingdom,Maritime,CONCENTRADO DE ZINC,<4000t,48.76,0 - 2500
